annotation_ref;uncertain;bird;behaviour;location;others;association;notes
632;;K70;perched, call response;palm;;;
633;;K70;perched, just before it flew away;palm;;;
634;;K70;flying away;palm;;;
635;;J71;perched;d tree;T42;same tree;went quiet after T75 arrived
636;;T42;perdched;d tree;J71;same tree;
637;;J71;perched;d tree;;;went quiet after T75 arrived
638;;J71;perched, calls in background;d tree;;;went quiet after T75 arrived
639;;T42;flying away;d tree;;;
640;;E87;perched, preening;d tree;E84;same tree;
641;;E87;perched, looking around;d tree;E84;same tree;
642;;T97;foraging nuts, climbing around;d tree;;;
643;;T97;flying away;d tree;;;
644;;P69;perched, calls in background;24E;;;
645;;P69;perched, calls in background;24E;S17, S57 ;in nest;
646;;P69;perched, call response;24E;S17, S57 ;in nest;
647;;S17;flying down to bush;2,40E+02;S57, P69;same nest;
648;;S57;perched;2,40E+02;P69;same nest;
649;;P69;in nest, calls in background, dog on ground;2,40E+02;S57;same nest;
650;;H67;flying away;d tree;stump;following;
651;;T81;perched, calls in background;d tree;;;
652;;T71;perched;d tree;R18;in nest closeby;
653;;T71;flying away;d tree;R18;following;
654;;T86;flying down to group that is fed;d tree;un;following;
655;;T03;perched;d tree;un, un;same tree;
656;;T03;flying away;d tree;un, un;same tree;
657;;S10;perched, calls in background;d tree;I87;same tree;
658;;I87;perched, call response;d tree;S10;same tree;
659;;S10;perched, preening, calls in background;d tree;I87;same tree;
660;;I87;perched, calls in background;d tree;S10;same tree;
